sex,age,educ,hours,income_more_50K
 Male,36,9,40,0
 Male,41,9,40,1
 Male,72,9,30,0
 Male,20,10,30,0
 Female,41,13,40,0
 Male,34,10,50,0
 Female,48,7,40,0
 Female,27,9,40,0
 Male,35,10,60,1
 Male,28,9,40,0
 Male,27,9,40,0
 Male,20,10,40,0
 Female,18,10,15,0
 Male,32,13,40,0
 Male,38,14,60,1
 Male,23,10,40,0
 Male,28,13,45,1
 Male,40,15,38,1
 Female,35,9,40,0
 Male,74,10,40,0
 Male,28,9,40,0
 Male,23,10,30,0
 Male,20,10,10,0
 Female,44,9,56,0
 Female,46,9,25,0
 Male,20,10,40,0
 Male,51,13,50,1
 Female,40,10,40,0
 Male,48,15,40,1
 Male,60,5,84,0
 Male,48,13,40,1
 Female,46,13,70,0
 Male,48,13,40,1
 Female,22,9,35,0
 Female,24,13,40,0
 Female,45,10,40,0
 Female,18,8,35,0
 Male,39,9,40,0
 Male,65,9,65,0
 Female,22,10,40,0
 Female,20,10,20,0
 Male,28,10,40,0
 Male,46,15,50,1
 Male,42,13,48,1
 Male,61,16,40,1
 Male,28,10,50,1
 Female,18,10,20,0
 Male,24,13,40,0
 Male,45,16,56,1
 Male,24,9,40,0
 Male,44,13,50,1
 Male,20,10,30,0
 Male,35,10,55,0
 Male,52,13,60,0
 Male,25,12,45,0
 Male,19,3,36,0
 Male,35,13,20,0
 Female,54,10,40,0
 Male,21,10,40,0
 Female,26,9,40,1
 Female,42,11,40,0
 Female,19,10,40,0
 Male,55,14,50,1
 Male,44,9,40,0
 Male,25,13,55,0
 Male,26,10,40,0
 Female,64,12,40,1
 Female,41,7,40,0
 Male,25,10,40,0
 Male,43,10,40,0
 Male,45,9,48,1
 Male,48,13,44,1
 Male,60,9,40,0
 Male,45,10,50,0
 Male,51,6,40,1
 Female,37,9,40,0
 Male,22,10,30,0
 Male,44,9,65,1
 Male,27,9,50,0
 Male,47,9,40,0
 Male,32,14,40,1
 Male,40,13,50,1
 Male,41,9,40,0
 Female,32,6,40,0
 Female,26,13,40,0
 Male,47,10,40,0
 Male,55,9,45,0
 Male,38,9,40,0
 Male,24,13,15,0
 Male,64,16,25,1
 Male,56,13,40,1
 Male,41,9,49,1
 Male,33,9,45,1
 Male,33,15,42,1
 Male,21,10,40,0
 Male,59,9,40,0
 Male,58,11,40,1
 Male,43,14,40,0
 Male,21,9,40,0
 Male,45,9,40,0
 Female,53,9,50,1
 Male,41,15,50,1
 Female,27,6,40,0
 Male,53,10,50,1
 Male,38,14,35,1
 Male,31,13,70,1
 Male,41,9,35,0
 Female,22,10,40,0
 Male,43,14,60,0
 Male,41,10,40,0
 Female,27,10,35,0
 Male,41,10,40,0
 Male,36,15,45,1
 Female,49,13,40,1
 Male,20,9,45,0
 Female,58,9,45,0
 Female,35,8,40,0
 Male,30,9,40,1
 Male,21,9,40,0
 Male,29,12,45,0
 Female,40,9,40,0
 Female,54,13,40,1
 Male,35,13,60,1
 Male,35,13,50,0
 Female,40,13,40,0
 Female,59,9,40,0
 Male,43,10,50,0
 Male,39,6,60,1
 Female,51,4,30,0
 Female,71,10,60,0
 Female,33,8,40,0
 Male,28,9,35,0
 Male,30,9,40,0
 Male,20,3,40,0
 Male,51,9,50,0
 Female,39,9,40,1
 Male,62,10,40,1
 Male,37,9,60,0
 Male,28,5,50,0
 Male,23,9,48,0
 Female,39,13,30,0
 Male,50,13,65,1
 Male,31,4,40,0
 Male,45,13,50,1
 Male,23,13,40,0
 Male,47,6,40,0
 Female,59,9,18,0
 Male,32,12,40,0
 Male,82,4,5,0
 Male,49,13,55,1
 Male,74,9,17,0
 Male,22,10,35,0
 Male,32,10,55,0
 Male,34,13,50,1
 Male,59,13,60,1
 Male,36,13,50,1
 Female,59,7,40,0
 Male,47,13,70,1
 Male,53,9,45,0
 Male,25,10,35,0
 Male,44,13,65,0
 Female,57,15,35,1
 Male,42,13,80,1
 Male,58,6,40,0
 Male,39,13,40,0
 Male,32,9,40,0
 Male,45,4,48,0
 Female,47,13,35,1
 Male,52,10,50,0
 Male,56,2,25,0
 Female,52,9,40,0
 Female,34,9,35,0
 Male,36,4,35,0
 Male,41,9,40,0
 Male,30,10,40,0
 Male,44,13,40,0
 Female,17,10,40,0
 Female,34,10,40,0
 Male,41,10,40,0
 Male,29,9,40,0
 Male,25,5,48,0
 Male,42,13,40,0
 Male,48,10,40,1
 Male,26,11,55,0
 Female,64,9,40,1
 Male,46,13,45,0
 Male,38,13,50,1
 Male,49,7,40,0
 Female,23,10,20,0
 Female,46,13,40,1
 Male,30,9,55,0
 Male,49,9,40,1
 Male,47,11,40,0
 Male,44,13,50,1
 Male,31,9,50,0
 Male,19,9,50,0
 Female,45,12,38,0
 Male,34,13,40,1
 Male,26,9,40,0
 Male,38,9,40,1
 Female,31,10,43,0
 Male,36,12,50,0
 Male,31,13,60,1
 Male,30,13,40,0
 Male,37,9,40,1
 Male,30,13,50,1
 Female,21,9,30,0
 Female,73,6,10,0
 Male,38,14,40,1
 Male,30,6,50,0
 Male,33,9,50,1
 Male,52,13,40,1
 Female,58,10,46,0
 Female,34,14,50,0
 Male,35,9,40,0
 Male,59,9,40,1
 Female,45,13,40,0
 Male,27,10,48,0
 Male,31,16,50,1
 Male,45,10,50,0
 Female,40,9,25,0
 Male,27,15,40,0
 Male,19,9,20,0
 Male,29,3,25,0
 Male,34,10,72,0
 Male,32,12,40,0
 Male,49,7,40,0
 Female,33,7,40,1
 Male,74,4,2,0
 Male,62,13,50,1
 Male,39,9,40,0
 Female,43,9,40,0
 Female,22,10,60,0
 Male,24,9,45,0
 Male,76,9,40,1
 Female,25,10,40,0
 Female,19,10,28,0
 Female,31,12,41,0
 Female,53,7,40,0
 Male,61,9,3,0
 Male,47,13,40,0
 Female,37,9,45,0
 Male,50,13,30,0
 Male,27,10,44,0
 Female,58,9,40,0
 Male,43,9,40,0
 Male,39,12,40,0
 Female,36,10,35,0
 Male,56,13,50,0
 Male,26,9,55,0
 Female,23,13,38,0
 Male,47,7,40,0
 Female,68,8,30,0
 Male,47,10,40,0
 Male,45,10,40,1
 Male,26,10,60,0
 Male,20,9,40,0
 Female,46,10,40,0
 Male,37,12,50,1
 Male,37,10,45,0
 Male,43,10,42,0
 Female,59,14,40,0
 Female,39,9,40,0
 Female,32,10,54,0
 Male,63,10,16,0
 Male,45,13,60,1
 Female,59,13,40,0
 Male,36,8,35,0
 Male,26,9,40,0
 Female,34,9,40,0
 Male,41,9,40,1
 Male,26,9,40,0
 Female,53,9,40,0
 Female,33,9,35,1
 Male,46,13,50,1
 Female,79,9,30,0
 Female,31,9,40,0
 Male,24,9,40,0
 Female,57,9,62,0
 Female,40,9,47,0
 Male,41,11,84,0
 Male,20,10,26,0
 Female,45,7,40,0
 Female,27,11,40,0
 Male,36,3,40,0
 Male,30,9,40,0
 Female,36,13,40,1
 Male,25,9,40,0
 Female,30,10,25,0
 Female,31,9,40,0
 Male,49,9,45,1
 Male,26,7,20,0
 Male,25,13,40,0
 Female,29,11,40,0
 Female,24,10,52,0
 Male,41,9,40,1
 Male,35,14,40,1
 Female,57,13,40,1
 Female,21,7,40,0
 Female,29,6,32,0
 Male,36,10,40,0
 Female,20,10,25,0
 Male,51,13,40,1
 Male,39,7,40,0
 Male,36,13,50,0
 Male,40,15,70,1
 Male,61,9,50,0
 Male,38,15,60,0
 Male,20,10,35,0
 Female,21,9,35,0
 Female,40,9,40,0
 Male,46,6,45,0
 Male,21,10,54,0
 Male,35,6,50,0
 Male,39,13,40,0
 Male,38,9,60,0
 Female,30,9,40,0
 Male,28,5,40,0
 Male,32,13,40,1
 Male,46,11,40,1
 Male,40,11,40,0
 Female,47,9,40,1
 Male,44,6,40,0
 Male,38,9,40,0
 Male,51,9,20,1
 Male,46,13,40,1
 Male,51,16,60,1
 Male,45,16,40,1
 Female,20,10,20,0
 Male,44,13,45,0
 Male,33,11,45,0
 Female,18,9,30,0
 Male,61,15,40,1
 Female,50,13,40,0
 Male,47,9,40,0
 Male,34,13,50,1
 Male,53,9,60,0
 Male,39,10,40,0
 Male,58,9,40,1
 Male,66,9,18,0
 Male,26,7,50,0
 Male,41,3,40,0
 Male,47,10,40,0
 Male,31,11,40,0
 Male,52,10,40,1
 Male,29,12,50,1
 Female,43,5,50,0
 Male,42,14,40,1
 Female,35,10,30,0
 Male,41,9,40,0
 Male,34,13,60,1
 Male,52,10,40,0
 Male,61,10,40,0
 Male,39,9,40,0
 Female,19,10,25,0
 Male,46,13,40,1
 Male,39,10,45,0
 Male,22,10,50,0
 Female,30,9,40,0
 Female,40,11,32,0
 Male,43,13,40,0
 Male,37,3,36,0
 Male,23,12,20,0
 Male,39,12,59,0
 Male,54,14,40,0
 Male,46,10,60,0
 Female,20,10,40,0
 Female,50,13,50,1
 Female,17,6,15,0
 Male,36,9,40,0
 Male,37,9,45,0
 Female,53,9,38,0
 Male,50,9,40,1
 Male,38,9,40,0
 Male,63,9,32,0
 Male,53,9,50,1
 Female,40,13,50,0
 Male,23,10,50,0
 Male,20,9,43,0
 Male,46,10,40,1
 Male,28,6,40,0
 Male,59,14,50,0
 Male,41,13,40,1
 Male,33,1,40,0
 Male,56,8,40,0
 Male,50,9,55,1
 Female,31,13,50,0
 Male,41,11,50,0
 Female,38,13,40,1
 Female,25,12,40,0
 Female,18,9,12,0
 Female,49,13,40,0
 Male,39,10,40,0
 Female,22,10,20,0
 Female,21,10,25,0
 Male,35,13,40,0
 Female,21,9,40,0
 Male,38,9,40,1
 Female,55,4,20,0
 Male,31,9,55,0
 Male,17,7,20,0
 Male,31,13,50,1
 Male,25,13,40,0
 Male,39,14,55,1
 Male,50,4,40,0
 Female,38,13,20,1
 Male,50,10,60,0
 Male,63,6,40,0
 Male,31,9,50,0
 Female,23,13,40,0
 Male,18,10,20,0
 Female,43,13,48,0
 Male,34,10,50,1
 Male,18,7,35,0
 Male,46,9,40,1
 Female,35,13,40,1
 Female,46,14,38,0
 Male,59,11,40,1
 Female,31,4,30,0
 Female,27,9,37,0
 Male,41,14,40,0
 Male,42,9,40,0
 Male,55,13,40,1
 Female,34,9,40,0
 Female,44,9,40,0
 Female,26,13,50,0
 Female,36,11,40,1
 Male,69,5,35,0
 Female,33,10,40,0
 Male,30,11,40,0
 Female,35,9,16,1
 Female,25,13,40,1
 Male,21,10,40,0
 Male,18,7,15,0
 Male,35,10,60,1
 Male,20,9,50,0
 Male,26,14,40,0
 Male,46,13,40,0
 Female,31,13,36,0
 Male,40,15,40,1
 Female,40,9,52,0
 Female,31,13,40,0
 Male,32,16,40,0
 Male,23,10,40,0
 Male,25,14,40,0
 Male,37,10,50,0
 Female,18,10,20,0
 Female,55,9,38,0
 Female,52,5,40,0
 Female,26,9,40,0
 Male,37,10,40,1
 Female,39,9,45,0
 Female,62,13,40,1
 Female,19,10,25,0
 Male,47,9,45,1
 Male,51,13,40,1
 Female,55,9,40,0
 Male,30,9,35,0
 Male,59,10,36,0
 Male,45,6,65,0
 Male,52,10,45,1
 Male,21,9,20,0
 Male,31,9,55,0
 Male,29,10,40,0
 Male,24,9,40,0
 Male,17,6,24,0
 Female,47,9,40,0
 Male,46,10,50,1
 Female,32,9,28,0
 Male,34,6,44,0
 Male,63,8,40,0
 Male,21,10,25,0
 Male,18,9,36,0
 Male,49,16,50,1
 Female,81,9,20,0
 Male,36,12,40,1
 Male,47,9,40,1
 Male,36,14,50,1
 Male,39,11,60,0
 Female,46,13,35,0
 Female,43,10,40,1
 Female,39,13,35,0
 Female,29,10,40,0
 Female,23,9,16,0
 Male,57,6,43,0
 Female,38,9,42,0
 Female,25,13,40,0
 Male,39,10,40,0
 Male,24,10,40,0
 Male,56,14,44,1
 Female,39,8,40,0
 Female,23,11,60,0
 Female,17,7,20,0
 Female,67,9,16,0
 Male,41,13,50,0
 Female,24,13,50,0
 Male,51,13,40,1
 Female,30,9,60,0
 Male,47,9,40,1
 Male,56,9,32,0
 Male,51,9,38,0
 Male,57,10,55,0
 Female,34,10,40,0
 Male,24,13,40,0
 Male,57,9,40,0
 Male,38,9,40,1
 Female,23,9,40,0
 Male,35,4,40,0
 Male,58,9,52,0
 Female,19,9,12,0
 Male,19,4,40,0
 Male,68,16,60,1
 Male,43,10,40,1
 Female,17,7,20,0
 Male,53,16,50,1
 Male,37,16,99,1
 Male,21,13,25,0
 Male,63,9,40,1
 Male,31,10,50,0
 Male,29,9,40,0
 Male,43,10,40,1
 Female,27,15,65,1
 Male,25,9,32,0
 Female,28,9,40,0
 Female,54,9,35,0
 Female,74,10,12,0
 Female,31,10,32,0
 Male,23,10,48,0
 Female,19,13,30,0
 Female,39,1,20,0
 Female,61,9,40,0
 Female,59,9,40,1
 Female,27,11,36,1
 Female,19,10,20,0
 Male,23,9,40,0
 Female,25,9,35,0
 Male,40,10,48,1
 Female,53,7,37,0
 Male,32,13,45,0
 Male,72,16,25,1
 Male,61,4,40,0
 Male,42,9,40,0
 Female,17,6,20,0
 Male,73,9,16,0
 Male,41,10,40,0
 Female,23,10,20,0
 Female,23,9,40,0
 Male,65,11,15,0
 Female,45,9,50,0
 Male,52,13,40,1
 Female,24,13,27,0
 Male,23,11,40,0
 Female,30,10,40,0
 Male,26,13,40,0
 Male,37,9,56,0
 Male,17,9,40,0
 Male,31,9,40,0
 Female,52,9,40,0
 Male,63,13,27,0
 Female,27,9,60,0
 Male,31,5,40,0
 Female,71,9,35,0
 Male,35,13,60,0
 Female,44,9,38,0
 Male,36,14,40,0
 Female,22,13,20,0
 Male,32,9,48,0
 Female,30,13,40,0
 Male,60,9,40,0
 Female,25,10,40,0
 Female,76,4,12,0
 Male,41,9,40,0
 Male,26,4,40,0
 Male,45,8,40,0
 Female,32,10,40,0
 Male,22,9,40,0
 Male,39,13,40,1
 Male,63,13,40,0
 Female,23,12,40,0
 Male,61,6,40,0
 Male,31,11,40,0
 Male,25,5,45,0
 Female,33,9,40,0
 Female,39,9,36,0
 Female,53,13,40,0
 Female,26,13,40,0
 Male,21,10,32,0
 Male,18,9,40,0
 Male,34,13,60,1
 Male,44,14,40,1
 Male,31,9,50,0
 Male,44,9,40,1
 Male,42,15,60,1
 Male,43,9,44,0
 Male,33,13,38,1
 Female,21,10,30,0
 Male,30,9,40,1
 Male,55,9,60,0
 Female,57,10,40,0
 Male,37,9,50,0
 Male,32,9,40,1
 Male,62,13,60,1
 Male,31,13,40,1
 Male,51,13,50,1
 Female,37,14,45,0
 Male,45,3,38,0
 Male,47,10,40,0
 Male,31,9,75,0
 Male,75,7,30,0
 Male,43,14,50,0
 Male,39,12,60,1
 Male,30,13,40,1
 Male,27,3,40,0
 Male,44,9,40,0
 Female,53,14,35,1
 Male,40,13,40,0
 Female,18,7,20,0
 Male,33,13,40,0
 Male,20,9,40,0
 Male,38,10,50,0
 Female,48,9,35,0
 Male,46,9,40,0
 Male,51,9,40,0
 Female,35,9,30,0
 Male,24,4,40,0
 Male,30,10,50,0
 Male,70,9,30,0
 Male,26,9,44,0
 Male,34,9,40,0
 Male,46,9,40,1
 Female,70,9,5,0
 Male,37,10,40,0
 Female,36,10,35,0
 Female,23,5,40,0
 Male,28,9,40,0
 Male,44,10,50,1
 Male,58,9,30,0
 Male,53,10,60,1
 Male,23,10,40,0
 Male,26,9,40,0
 Male,21,10,40,0
 Female,34,14,50,0
 Male,43,7,40,0
 Male,22,10,20,0
 Male,41,10,50,1
 Male,36,9,40,0
 Female,41,13,20,0
 Male,27,9,40,0
 Male,42,10,60,0
 Female,27,11,35,0
 Male,41,9,40,0
 Female,32,13,40,1
 Male,21,10,20,0
 Male,44,13,50,1
 Male,29,13,40,0
 Female,19,10,22,0
 Male,21,10,40,0
 Male,46,9,40,0
 Male,38,13,55,1
 Male,43,10,48,1
 Male,54,9,50,1
 Male,38,14,60,1
 Male,18,10,40,0
 Female,50,9,40,1
 Female,30,11,36,1
 Male,30,5,40,0
 Female,28,9,35,0
 Female,26,11,45,0
 Male,37,10,43,0
 Male,32,9,50,1
 Female,64,14,5,1
 Female,18,9,28,0
 Male,30,10,30,0
 Female,36,11,8,0
 Male,18,7,30,0
 Male,27,9,40,0
 Male,49,5,40,0
 Male,46,9,43,1
 Male,37,9,40,0
 Male,30,10,40,0
 Female,29,9,30,0
 Male,22,9,40,0
 Male,25,9,30,0
 Female,38,9,30,0
 Female,32,13,40,0
 Male,35,10,50,0
 Male,56,14,80,1
 Female,29,10,40,0
 Male,41,9,40,0
 Male,47,9,40,0
 Female,23,13,40,0
 Male,46,13,45,1
 Male,28,9,40,0
 Female,39,13,20,0
 Female,42,10,50,0
 Male,39,9,48,1
 Male,68,4,30,0
 Male,37,13,55,1
 Female,57,15,40,0
 Female,22,10,30,0
 Male,24,11,30,1
 Male,19,10,50,0
 Female,55,12,30,0
 Male,37,9,40,0
 Female,37,10,40,0
 Male,28,13,50,0
 Female,27,9,40,0
 Female,40,13,20,0
 Female,51,9,40,0
 Male,52,11,56,0
 Female,74,10,3,0
 Male,49,10,50,1
 Female,20,10,40,0
 Female,40,10,50,0
 Male,80,10,60,0
 Male,63,10,40,0
 Male,63,9,45,1
 Female,51,10,40,0
 Female,23,9,40,0
 Male,66,9,20,0
 Male,33,9,66,0
 Male,49,9,43,0
 Male,20,10,32,0
 Male,33,12,60,1
 Male,26,10,40,0
 Male,52,9,50,1
 Male,33,13,50,1
 Male,47,13,45,0
 Male,23,9,75,0
 Male,53,12,40,0
 Male,19,10,20,0
 Male,26,10,40,0
 Male,53,4,60,1
 Male,65,9,10,0
 Male,68,13,30,0
 Male,30,6,18,0
 Male,28,7,45,0
 Male,54,6,45,0
 Male,30,9,10,0
 Male,22,10,50,0
 Male,25,9,30,0
 Male,19,7,20,0
 Female,19,10,35,0
 Male,32,15,40,1
 Female,23,13,40,0
 Male,51,13,45,0
 Male,25,10,44,1
 Female,46,13,40,0
 Female,38,10,50,0
 Male,26,9,40,1
 Female,46,9,40,0
 Female,25,13,40,0
 Female,20,10,16,0
 Male,29,14,35,0
 Male,51,14,50,1
 Male,40,10,52,0
 Female,24,10,40,0
 Male,24,13,50,0
 Female,31,11,24,0
 Female,54,9,30,0
 Male,34,12,60,0
 Male,19,10,66,0
 Male,21,9,40,0
 Male,21,6,70,0
 Male,23,10,24,0
 Male,37,10,40,0
 Male,40,14,46,1
 Male,57,9,30,0
 Male,48,13,40,1
 Male,24,7,40,0
 Male,43,10,40,0
 Female,32,13,20,0
 Female,40,9,40,0
 Male,52,15,35,1
 Male,49,9,40,0
 Male,45,10,40,0
 Male,62,9,40,0
 Male,29,11,40,0
 Female,49,9,40,0
 Female,55,10,40,0
 Male,20,10,72,0
 Male,37,13,40,0
 Male,43,13,40,1
 Female,29,10,40,0
 Female,44,9,40,1
 Male,28,10,40,1
 Female,38,10,45,0
 Male,45,11,50,1
 Male,22,10,40,0
 Female,19,10,20,0
 Male,20,8,40,0
 Male,60,9,40,0
 Female,30,9,40,0
 Male,22,10,40,0
 Female,51,10,60,0
 Female,31,13,40,0
 Female,48,9,40,0
 Male,43,13,40,1
 Male,51,9,40,0
 Male,41,11,48,1
 Male,62,11,40,0
 Male,50,9,40,1
 Female,46,9,40,1
 Male,54,10,60,1
 Male,68,9,45,1
 Male,23,12,30,0
 Female,49,14,35,0
 Male,24,6,40,0
 Male,30,9,40,0
 Male,38,9,45,0
 Female,34,9,35,0
 Male,22,10,40,0
 Male,30,4,40,0
 Male,61,4,31,0
 Male,36,9,40,0
 Male,51,11,40,0
 Female,43,3,40,1
 Male,54,10,48,1
 Female,63,9,25,0
 Male,51,10,40,1
 Male,63,6,40,0
 Male,51,14,60,1
 Female,27,9,35,0
 Male,35,12,40,1
 Female,31,13,25,1
 Male,46,9,40,0
 Male,53,11,40,1
 Male,26,10,24,0
 Male,43,9,40,0
 Male,39,9,50,1
 Male,50,9,40,0
 Male,54,9,40,1
 Female,62,10,45,1
 Female,57,10,40,0
 Male,19,10,24,0
 Male,29,9,20,0
 Male,20,9,40,0
 Male,53,13,55,1
 Male,18,10,40,0
 Male,22,10,40,0
 Male,23,9,40,0
 Male,69,7,20,0
 Male,56,4,40,0
 Male,53,13,35,0
 Male,28,9,40,0
 Male,28,13,40,0
 Male,33,9,84,1
 Female,48,9,30,0
 Male,61,9,40,1
 Male,49,13,45,0
 Male,48,10,40,0
 Male,32,4,40,0
 Male,51,9,40,1
 Male,27,13,40,0
 Male,19,10,14,0
 Male,47,9,50,0
 Male,25,13,60,0
 Male,72,10,40,0
 Male,29,7,40,0
 Female,22,9,40,0
 Male,57,9,48,0
 Male,50,12,60,0
 Male,45,10,30,0
 Male,52,10,40,1
 Male,53,14,48,1
 Male,36,9,48,0
 Male,46,9,40,1
 Female,20,9,20,0
 Male,75,3,10,0
 Male,32,9,40,1
 Male,28,9,40,0
 Female,53,14,40,0
 Female,17,7,35,0
 Female,46,11,38,0
 Female,39,12,30,0
 Male,38,10,40,0
 Male,36,9,60,0
 Female,63,13,21,0
 Male,28,2,43,0
 Male,28,13,45,0
 Female,49,9,35,0
 Male,43,10,40,0
 Male,38,13,45,1
 Male,39,9,62,0
 Female,42,9,40,0
 Male,40,9,40,0
 Female,45,9,10,0
 Female,29,9,40,0
 Male,24,13,45,0
 Male,30,10,50,1
 Male,44,10,40,0
 Male,40,9,24,0
 Female,30,9,35,0
 Female,42,14,40,0
 Female,52,11,35,0
 Male,42,10,40,1
 Male,39,10,52,1
 Male,43,10,45,0
 Male,62,9,40,0
 Male,30,11,40,0
 Female,83,9,20,0
 Male,39,13,55,1
 Female,41,9,20,0
 Female,49,14,40,1
 Male,25,7,40,0
 Male,48,7,40,0
 Male,59,12,8,0
 Male,44,13,40,0
 Male,36,5,56,0
 Male,40,9,40,0
 Female,21,9,35,0
 Female,41,10,38,0
 Female,24,13,50,0
 Male,67,9,60,0
 Male,24,13,38,0
 Male,50,13,60,0
 Male,48,14,35,0
 Male,55,12,20,1
 Male,29,9,40,0
 Female,50,13,36,0
 Male,64,6,40,1
 Male,49,5,37,0
 Male,20,9,52,0
 Female,30,9,40,0
 Male,37,13,30,0
 Male,52,9,40,1
 Male,22,10,25,0
 Female,77,9,14,0
 Male,19,10,15,0
 Male,52,9,55,1
 Female,42,13,40,0
 Female,35,9,36,0
 Female,27,10,50,0
 Female,54,9,38,0
 Male,37,9,40,0
 Male,37,6,35,0
 Male,28,4,30,0
 Male,63,13,40,0
 Male,19,9,42,0
 Female,28,13,40,0
 Male,23,10,40,0
 Female,44,15,40,1
 Male,31,10,40,1
 Male,35,13,50,1
 Female,64,9,50,0
 Male,40,9,40,1
 Female,59,12,50,0
 Female,22,10,40,0
 Female,40,10,44,0
 Male,35,4,40,0
 Female,20,10,15,0
 Male,35,9,40,0
 Male,28,10,48,0
 Male,28,9,40,0
 Male,37,10,20,0
 Male,72,16,6,1
 Male,25,12,60,0
 Female,37,9,40,0
 Female,19,10,45,0
 Female,31,11,38,0
 Female,41,9,40,0
 Male,31,6,40,1
 Male,44,9,40,0
 Male,20,10,47,0
 Male,57,10,50,0
 Female,26,9,12,0
 Male,44,9,60,0
 Male,29,9,40,0
 Male,36,9,40,1
 Male,40,11,40,1
 Male,21,12,35,0
 Male,21,10,70,0
 Male,34,15,48,1
 Female,24,13,15,0
 Female,28,6,40,0
 Male,35,9,50,0
 Male,35,9,40,0
 Female,38,13,40,0
 Female,44,9,40,0
 Female,39,13,40,1
 Female,57,9,40,0
 Female,19,10,40,0
 Male,29,11,48,0
 Male,23,9,40,0
 Female,50,9,40,0
 Male,51,10,20,0
 Male,28,11,40,0
 Male,44,13,60,0
 Male,29,13,40,0
 Male,31,9,45,0
 Male,27,13,45,1
 Male,34,13,45,0
 Male,50,15,50,1
 Male,27,10,40,1
 Female,31,11,40,0
 Male,46,12,40,1
 Female,39,10,40,0
 Male,40,13,55,1
 Male,28,7,40,0
 Female,18,9,40,0
 Female,51,9,40,0
 Male,58,9,50,0
 Male,66,9,40,0
 Female,36,9,20,0
 Female,38,7,60,0
 Male,25,12,40,0
 Female,25,9,22,0
 Male,90,7,40,0
 Female,41,10,40,0
 Female,34,9,40,0
 Female,33,13,40,0
 Female,33,9,40,0
 Male,35,13,45,1
 Female,39,9,20,0
 Male,59,9,60,0
 Male,19,10,16,0
 Male,39,9,38,0
 Male,19,10,40,0
 Female,27,9,40,0
 Male,52,4,40,0
 Female,59,9,24,0
 Female,28,10,40,0
 Female,37,9,50,0
 Male,50,6,99,0
 Male,36,13,50,1
 Male,34,13,60,1
 Male,23,10,40,0
 Female,19,7,30,0
 Male,33,9,84,0
 Male,27,14,52,0
 Male,31,14,40,0
 Male,21,6,36,0
 Male,31,9,54,0
 Male,59,9,40,1
 Male,40,14,48,1
 Male,19,7,40,0
 Male,47,9,50,0
 Male,34,13,40,0
 Male,57,9,78,0
 Male,51,5,40,0
 Male,21,10,20,0
 Male,30,10,50,0
 Male,46,10,45,0
 Female,40,13,45,0
 Male,52,1,40,0
 Male,23,13,50,0
 Female,90,13,10,0
 Female,25,9,50,0
 Male,43,10,45,0
 Female,38,10,40,1
 Female,22,11,30,0
 Female,33,13,40,0
 Male,34,10,40,1
 Male,65,11,20,0
 Male,50,9,15,0
 Male,29,13,48,0
 Male,25,9,40,0
 Female,54,10,40,0
 Male,49,9,40,1
 Male,44,10,40,0
 Female,24,5,40,0
 Male,25,13,38,0
 Male,65,9,20,0
 Male,56,9,45,0
 Male,39,15,60,1
 Female,23,13,40,0
 Female,20,10,20,0
 Male,24,3,40,0
 Male,41,10,50,1
 Male,40,10,50,0
 Male,55,9,50,1
 Female,38,9,48,0
 Female,23,9,40,0
 Male,44,13,50,0
 Male,45,10,40,1
 Female,20,10,12,0
 Male,29,9,40,0
 Male,43,9,40,0
 Male,30,8,40,0
 Female,28,10,38,0
 Male,31,9,40,1
 Female,52,9,40,0
 Female,36,13,50,1
 Male,38,9,45,0
 Male,66,10,40,0
 Male,63,11,40,0
 Male,21,10,35,0
 Male,33,9,40,0
 Female,46,10,50,0
 Male,20,10,20,0
 Male,47,13,60,0
 Male,33,16,55,1
 Male,66,4,30,0
 Female,20,10,30,0
 Male,28,9,40,0
 Female,46,9,28,0
 Male,25,10,45,0
 Male,37,9,40,0
 Male,31,5,60,0
 Male,49,9,40,0
 Male,22,10,20,0
 Female,52,11,20,1
 Female,29,12,50,0
 Female,18,7,20,0
 Male,31,10,35,0
 Female,23,10,35,0
 Female,27,11,40,1
 Male,54,6,65,0
 Female,50,9,49,0
 Male,46,14,40,1
 Female,24,13,40,0
 Female,17,7,18,0
 Male,49,9,45,0
 Male,54,9,40,1
 Male,41,13,60,1
 Male,49,9,40,0
 Female,36,13,35,0
 Male,23,9,40,0
 Female,63,10,40,0
 Male,67,9,40,1
 Male,23,9,40,0
 Male,22,13,40,0
 Male,66,11,30,0
 Male,25,7,50,0
 Female,30,10,20,0
 Male,35,9,40,0
 Male,67,4,40,0
 Male,30,8,40,0
 Female,26,10,38,0
 Male,34,9,40,0
 Male,21,10,40,0
 Male,18,8,10,0
 Male,21,9,40,0
 Male,76,5,40,0
 Male,51,10,70,0
 Female,26,9,56,0
 Female,18,8,25,0
 Male,18,7,40,0
 Male,34,11,50,0
 Female,59,9,40,0
 Male,55,13,45,1
 Male,33,10,72,0
 Female,25,9,10,0
 Female,48,9,10,0
 Female,64,13,5,0
 Female,47,14,45,1
 Female,26,10,40,0
 Male,36,12,48,1
 Male,21,9,40,0
 Female,54,4,25,0
 Male,30,9,44,0
 Male,41,9,40,0
 Female,53,14,35,1
 Male,34,10,30,0
 Female,20,10,35,0
 Male,24,6,49,0
 Female,26,13,20,0
 Female,25,9,48,0
 Female,35,10,36,0
 Male,41,10,40,1
 Male,33,7,40,0
 Female,18,10,25,0
 Male,27,9,38,0
 Female,32,9,35,0
 Male,51,9,40,0
